Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
100,150,79891842095,76194945433,72498048770,68801152108,65104255445,57341478124,58226758212,59085794713,59919791264,60729879005,61517121958,49213697566,36910273175,24606848783,12303424392,0,0,0,0,0,0,0,0,0,0,0,57760640483,1.15521E+11,1.73282E+11,2.31043E+11,2.88803E+11,2.88309E+11,2.87815E+11,2.87321E+11,2.86827E+11,2.86332E+11
150,200,51985919203,52091647070,52197374936,52303102802,52408830668,49037484580,42986921930,36717981613,30240679306,23564427433,16698079905,25651136079,34604192253,43557248426,52510304600,61463360774,68246528639,75029696504,81812864368,88596032233,95379200098,76303360078,57227520059,38151680039,19075840020,0,0,0,0,0,0,0,0,0,0,0
200,250,0,3408607879,6817215757,10225823636,13634431515,15914592158,22673015942,29611602474,36722088767,43996709519,51428160206,50909376067,50390591927,49871807788,49353023648,48834239508,48541919791,48249600075,47957280358,47664960641,47372640924,59696224689,72019808455,84343392220,96666975986,1.08991E+11,96426847988,83863136224,71299424460,58735712696,46172000933,36937600746,27703200560,18468800373,9234400187,0
250,300,0,0,0,0,0,0,0,0,0,0,0,3507168002,7014336003,10521504005,14028672007,17535840008,14028672007,10521504005,7014336003,3507168002,0,6101759848,12203519697,18305279545,24407039394,30508799242,42361983139,54215167036,66068350933,77921534830,89774718727,98300159209,1.06826E+11,1.15351E+11,1.23876E+11,1.32402E+11
300,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3390240001,6780480003,10170720004,13560960006,16951200007,13560960006,10170720004,6780480003,3390240001,0,0,0,0,0,0,0,0,0,0,0
400,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3259647946,6519295892,9778943837,13038591783,16298239729,13038591783,9778943837,6519295892,3259647946,0,0,0,0,0,0
450,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121663889,6243327779,9364991668,12486655558,15608319447,12486655558,9364991668,6243327779,3121663889,0
500,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2983456038,5966912077,8950368115,11933824153,14917280191
550,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
