Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
10,20,421636010.3,337308808.2,252981606.2,168654404.1,84327202.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,40,18700000.51,14960000.41,11220000.31,7480000.204,3740000.102,0,94941398.13,189882796.3,284824194.4,379765592.5,474706990.6,379765592.5,284824194.4,189882796.3,94941398.13,0,6520000.17,13040000.34,19560000.51,26080000.68,32600000.85,32320000.9,32040000.95,31760001,31480001.05,31200001.1,30880000.85,30560000.6,30240000.34,29920000.09,29599999.83,29279999.94,28960000.05,28640000.16,28320000.27,28000000.38
40,50,0,0,0,0,0,0,0,0,0,0,0,6640000.356,13280000.71,19920001.07,26560001.42,33200001.78,26560001.42,19920001.07,13280000.71,6640000.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,80,0,0,0,0,0,0,7580000.238,15160000.48,22740000.71,30320000.95,37900001.19,30320000.95,22740000.71,15160000.48,7580000.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,90,0,8459999.663,16919999.33,25379998.99,33839998.65,42299998.31,33839998.65,25379998.99,16919999.33,8459999.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95733598.57,191467197.1,287200795.7,382934394.3,478667992.9,475936994.2,473205995.5,470474996.8,467743998.2,465012999.5,461932201.9,458851404.3,455770606.6,452689809,449609011.4,446330010.9,443051010.4,439772009.8,436493009.3,433214008.8
100,150,46500001.19,37200000.95,27900000.71,18600000.48,9300000.238,0,0,0,0,0,0,5400000.009,10800000.02,16200000.03,21600000.04,27000000.05,26419999.99,25839999.94,25259999.89,24679999.84,24099999.79,23859999.78,23619999.77,23379999.77,23139999.76,22899999.75,22659999.74,22419999.73,22179999.72,21939999.71,21699999.71,21439999.91,21180000.11,20920000.32,20660000.52,20400000.72
150,200,372362006.6,305949605.5,239537204.5,173124803.4,106712402.3,40300001.27,38880001.38,37460001.48,36040001.58,34620001.68,33200001.78,26560001.42,19920001.07,13280000.71,6640000.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,250,0,90543401.89,181086803.8,271630205.7,362173607.6,452717009.5,362173607.6,271630205.7,181086803.8,90543401.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,300,85821002722,68656802177,51492601633,34328401089,17164200544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
