Policy:,waste - methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
20,30,23670679310,23772119943,23873560576,23975001209,24076441842,24177882475,23396666985,22615451496,21834236007,21053020517,20271805028,19717865022,19163925017,18609985012,18056045006,17502105001,17259797169,17017489338,16775181506,16532873675,16290565843,15872700934,15454836024,15036971114,14619106205,14201241295,14167798348,14134355400,14100912453,14067469505,14034026558,13879382733,13724738909,13570095084,13415451260,13260807435
30,40,5940986974,5925392741,5909798508,5894204274,5878610041,5863015808,5627887282,5392758757,5157630232,4922501706,4687373181,4540565291,4393757401,4246949511,4100141621,3953333731,3786134571,3618935412,3451736253,3284537093,3117337934,3035913120,2954488307,2873063493,2791638679,2710213865,4276284920,5842355974,7408427028,8974498083,10540569137,10487847765,10435126392,10382405019,10329683647,10276962274
40,50,1899192995,1889456738,1879720482,1869984225,1860247969,1850511712,1794431711,1738351710,1682271709,1626191708,1570111707,3152508643,4734905578,6317302514,7899699449,9482096385,9437633779,9393171174,9348708568,9304245962,9259783357,9215794207,9171805056,9127815906,9083826756,9039837606,7420570741,5801303877,4182037012,2562770148,943503283.1,938181253.9,932859224.6,927537195.3,922215166,916893136.7
50,60,1028118586,2069817036,3111515486,4153213935,5194912385,6236610835,6472148528,6707686220,6943223913,7178761606,7414299299,6044844106,4675388913,3305933721,1936478528,567023334.9,544749202.1,522475069.3,500200936.6,477926803.8,455652671,444908834.9,434164998.9,423421162.8,412677326.8,401933490.7,20212815911,40023698330,59834580750,79645463170,99456345590,99051768031,98647190472,98242612912,97838035353,97433457794
60,70,4716142054,3862118870,3008095686,2154072503,1300049319,446026135.5,429269959.9,412513784.3,395757608.6,379001433,362245257.3,20469681757,40577118257,60684554757,80791991257,1.00899E+11,1.00976E+11,1.01053E+11,1.0113E+11,1.01207E+11,1.01284E+11,1.01171E+11,1.01058E+11,1.00945E+11,1.00832E+11,1.00719E+11,80622576096,60525792154,40429008213,20332224271,235440329.3,228807639.6,222174949.9,215542260.2,208909570.5,202276880.8
70,80,302561030.2,301156038.8,299751047.5,298346056.1,296941064.8,295536073.5,16877831928,33460127782,50042423636,66624719490,83207015345,66615139496,50023263647,33431387798,16839511949,247636100.6,231995972.1,216355843.5,200715715,185075586.4,169435457.9,167074142.6,164712827.4,162351512.1,159990196.9,157628881.6,150438793.7,143248705.8,136058617.8,128868529.9,121678442,50695161928,1.01269E+11,1.51842E+11,2.02416E+11,2.52989E+11
80,90,52354378946,55277436736,58200494526,61123552315,64046610105,66969667895,53604660440,40239652985,26874645530,13509638075,144630619.5,142435182.5,140239745.5,138044308.5,135848871.5,133653434.5,127120917.9,120588401.2,114055884.6,107523367.9,100990851.3,98528117.65,96065384.01,93602650.37,91139916.73,88677183.09,55037494284,1.09986E+11,1.64935E+11,2.19884E+11,2.74833E+11,2.19882E+11,1.64932E+11,1.09982E+11,55031569018,81270601.22
90,100,122710163,127295877.5,131881592.1,136467306.6,141053021.1,145638735.6,139925850.9,134212966.1,128500081.4,122787196.6,117074311.8,111943569.5,106812827.2,101682084.9,96551342.57,91420600.26,94178797.96,96936995.66,99695193.36,102453391.1,105211588.8,60344052862,1.20583E+11,1.80822E+11,2.41061E+11,3.01299E+11,2.41056E+11,1.80812E+11,1.20569E+11,60324908441,81281062.34,18183227949,36285174836,54387121722,72489068609,90591015496
100,150,1.162E+12,1.13298E+12,1.10396E+12,1.07494E+12,1.04592E+12,1.0169E+12,9.94861E+11,9.72818E+11,9.50774E+11,9.28731E+11,9.06687E+11,8.90124E+11,8.73561E+11,8.56998E+11,8.40435E+11,8.23872E+11,8.0815E+11,7.92429E+11,7.76707E+11,7.60986E+11,7.45264E+11,6.72226E+11,5.99187E+11,5.26149E+11,4.53111E+11,3.80072E+11,3.74777E+11,3.69482E+11,3.64187E+11,3.58892E+11,3.53597E+11,3.30964E+11,3.08331E+11,2.85698E+11,2.63065E+11,2.40431E+11
150,200,218043244.6,209757874.4,201472504.1,193187133.9,184901763.6,176616393.4,168203688.5,159790983.7,151378278.8,142965573.9,134552869.1,3608165044,7081777219,10555389395,14029001570,17502613745,20570210250,23637806755,26705403260,29772999765,32840596270,32803810132,32767023994,32730237855,32693451717,32656665579,32565217676,32473769773,32382321870,32290873966,32199426063,32069045765,31938665467,31808285169,31677904870,31547524572
